loc,2013_total,2014_total,2015_total,2016_total,2017_total,avReFarmer
계룡시,9,8,15,13,15,12
울릉군,12,1,2,5,8,5.6
증평군,12,12,16,17,19,15.2
울진군,23,43,40,39,35,36
삼척시,27,34,35,29,34,31.8
고령군,29,55,44,43,51,44.4
고성군1,32,41,44,39,37,38.6
양양군,33,39,37,59,51,43.8
양구군,35,27,31,42,39,34.8
철원군,36,33,61,34,46,42
인제군,37,34,52,43,62,45.6
진천군,37,47,48,50,45,45.4
화천군,38,34,49,46,62,45.8
함안군,46,49,56,51,74,55.2
가평군,48,39,59,65,55,53.2
완도군,48,48,56,61,48,52.2
진도군,48,40,64,74,73,59.8
연천군,49,43,52,54,52,50
의령군,51,75,60,67,91,68.8
남해군,52,61,58,67,70,61.6
제천시,52,87,79,80,74,74.4
구례군,56,67,53,55,50,56.2
정선군,56,57,72,83,68,67.2
보령시,57,73,109,97,85,84.2
무주군,60,90,78,77,81,77.2
순창군,60,102,93,86,93,86.8
홍성군,60,77,84,109,96,85.2
부안군,61,55,77,103,126,84.4
영광군,61,49,50,70,82,62.4
고성군2,63,62,69,73,79,69.2
영월군,63,82,92,98,97,86.4
서천군,64,62,69,69,74,67.6
보성군,65,78,105,110,93,90.2
영양군,65,55,46,56,43,53
강진군,69,83,82,82,58,74.8
영덕군,70,60,64,71,57,64.4
강화군,71,72,95,109,123,94
곡성군,73,91,82,73,77,79.2
군위군,73,80,91,81,82,81.4
임실군,73,56,68,76,94,73.4
태안군,77,105,124,100,107,102.6
담양군,80,97,96,134,128,107
함평군,80,89,96,94,103,92.4
음성군,81,90,69,115,103,91.6
청양군,81,90,101,121,132,105
보은군,82,91,92,92,87,88.8
장흥군,82,95,95,80,73,85
영암군,86,65,106,98,108,92.6
평창군,86,81,88,91,114,92
산청군,89,92,112,106,112,102.2
진안군,90,89,100,107,124,102
청송군,90,107,114,113,102,105.2
화순군,90,109,83,85,92,91.8
예산군,91,84,90,89,89,88.6
단양군,92,75,70,71,80,77.6
옥천군,94,71,94,110,95,92.8
장성군,94,102,113,90,103,100.4
문경시,96,127,102,90,102,103.4
영주시,96,104,91,96,102,97.8
합천군,96,119,139,140,140,126.8
장수군,97,94,85,76,67,83.8
금산군,98,109,121,99,98,105
무안군,99,107,100,106,114,105.2
봉화군,104,147,130,137,134,130.4
횡성군,104,90,107,136,130,113.4
완주군,107,111,138,142,134,126.4
함양군,108,96,107,126,134,114.2
정읍시,110,107,116,115,129,115.4
하동군,111,105,146,113,112,117.4
거창군,112,117,137,160,122,129.6
부여군,112,97,115,142,122,117.6
영동군,115,131,137,145,122,130
성주군,117,110,109,125,106,113.4
김천시,121,117,162,135,136,134.2
예천군,121,111,117,131,135,123
홍천군,124,108,138,150,155,135
남원시,125,113,98,103,119,111.6
청도군,125,148,142,130,123,133.6
영천시,126,129,152,144,155,141.2
제주시,127,140,179,251,190,177.4
고흥군,128,127,131,180,142,141.6
밀양시,129,124,163,200,150,153.2
창녕군,130,125,141,159,165,144
양평군,131,144,160,159,172,153.2
